ARCID;ATYP;ADEP;ADES;RM;ARF;ETD;TT;ETA;Flight Time;Adjusted Time;CAT;Seats;Airline;Coming From;TAS(kts);TAS(m/s);Distancia (km)
VLG21ER;A321;LEBL;LIMC;ECMHB;300;10:15:00;10;11:35:00;1:20:00;0:55:00;D;207;VLG;ECAC;416.8;214.4;707.52
KLM41H;B738;EHAM;LEBL;PHBXF;390;8:38:00;15;10:20:00;1:42:00;1:12:00;D;184;KLM;ECAC;472.7;243.2;1050.62
VLG17WR;A320;LEBL;EBBR;ECKRH;340;10:17:00;12;12:05:00;1:48:00;1:21:00;D;173;VLG;ECAC;441.6;227.2;1104.19
DLH92J;A321;LEBL;EDDM;DAIDX;360;10:18:00;10;12:05:00;1:47:00;1:22:00;D;207;DLH;ECAC;454.1;233.6;1149.31
AXE8108;B733;LIRQ;LEBL;LYCHF;350;9:23:00;20;10:20:00;0:57:00;0:22:00;E;142;AXE;ECAC;447.8;230.4;304.13
AEA6037;B738;LEBL;LEPA;ECLQX;170;10:16:00;10;10:50:00;0:34:00;0:09:00;D;184;AEA;ECAC;335.9;172.8;93.31
VLG9SY;A320;LEBL;LFSB;ECMAH;340;10:24:00;11;11:45:00;1:21:00;0:55:00;D;173;VLG;ECAC;441.6;227.2;749.76
RYR6QP;B38M;LEBL;LEIB;EIIJM;190;10:23:00;20;11:00:00;0:37:00;0:02:00;D;170;RYR;ECAC;348.4;179.2;21.5
DLH51F;A320;EDDM;LEBL;DAIUE;370;9:00:00;12;10:25:00;1:25:00;0:58:00;D;173;DLH;ECAC;460.3;236.8;824.06
AXY632K;CRJ2;LFMN;LEBL;9HYOU;270;9:29:00;14;10:25:00;0:56:00;0:27:00;E;49;AXY;ECAC;398.1;204.8;331.78
THY1854;A333;LEBL;LTFM;TCJNJ;400;10:28:00;15;13:15:00;2:47:00;2:17:00;B;284;THY;ECAC;478.9;246.4;2025.41
PGT1ZF;A21N;LTFJ;LEBL;TCRBL;330;7:20:00;15;10:25:00;3:05:00;2:35:00;D;230;PGT;ECAC;435.4;224;2083.2
RYR4QJ;B738;LIME;LEBL;EIEMA;310;9:26:00;13;10:25:00;0:59:00;0:31:00;D;184;RYR;ECAC;423;217.6;404.74
VLG3KG;A321;LEBL;EGCC;ECMGZ;340;10:28:00;13;12:30:00;2:02:00;1:34:00;D;207;VLG;ECAC;441.6;227.2;1281.41
NJE619H;CL35;LEBL;LEMG;CSCHD;310;10:33:00;20;11:40:00;1:07:00;0:32:00;E;9;NJE;ECAC;423;217.6;417.79
VLG8PQ;A321;LEBL;LPPT;ECMHS;350;10:24:00;9;11:55:00;1:31:00;1:07:00;D;207;VLG;ECAC;447.8;230.4;926.21
ACA823;B77W;LEBL;CYUL;CFIVM;380;10:24:00;14;17:30:00;7:06:00;6:37:00;B;331;ACA;ECAC;466.5;240;5716.8
CCA846;A359;LEBL;ZBAA;B307C;390;10:33:00;14;20:25:00;9:52:00;9:23:00;B;297;CCA;ECAC;472.7;243.2;8215.3
EJU86QA;A319;EGGD;LEBL;OELQQ;390;9:04:00;9;10:35:00;1:31:00;1:07:00;D;144;EJU;ECAC;472.7;243.2;977.66
VLG5HA;A320;EHAM;LEBL;ECKDX;370;8:42:00;10;10:35:00;1:53:00;1:28:00;D;173;VLG;ECAC;460.3;236.8;1250.3
VLG57RJ;A320;LEBL;LIEO;ECLVV;340;10:37:00;12;11:45:00;1:08:00;0:41:00;D;173;VLG;ECAC;441.6;227.2;558.91
AEE711;A21N;LEBL;LGAV;SXNAK;370;10:39:00;10;13:05:00;2:26:00;2:01:00;D;230;AEE;ECAC;460.3;236.8;1719.17
UAL121;B772;LEBL;KEWR;N795UA;360;10:20:00;20;18:00:00;7:40:00;7:05:00;B;296;UAL;ECAC;454.1;233.6;5956.8
AAL193;B789;LEBL;KDFW;N826AN;380;10:43:00;23;20:20:00;9:37:00;8:59:00;B;284;AAL;ECAC;466.5;240;7761.6
